type, r, initial_value, iterations, map
linear, 3.5, 0.5, 100, "0.875,0.3828125,0.826934814453125,0.5008976948447526,0.87499717950388,0.3828199037744718,0.826940887670016,0.500883795893397,0.8749972661668659,0.38281967628581853,0.8269407010698389,0.5008842229438679,0.8749972635242493,0.3828196832226365,0.8269407067598487,0.5008842099217973,0.8749972636048496,0.3828196830110622,0.8269407065863021,0.5008842103189732,0.8749972636023914,0.38281968301751507,0.8269407065915954,0.5008842103068593,0.8749972636024664,0.38281968301731806,0.8269407065914337,0.5008842103072292,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179,0.8749972636024641,0.38281968301732416,0.8269407065914387,0.5008842103072179"
linear, 3.534, 0.5, 100, "0.8835,0.36374666850000015,0.8178913948013041,0.5263718459672684,0.8810421939661448,0.37038739523932795,0.8241308238764016,0.5122151646526669,0.8829726909853641,0.36517499806862136,0.819259721430756,0.5232907957810928,0.8815829422318759,0.3689300152705475,0.8227882092700765,0.5152846660932721,0.8826743833238623,0.3659821579727779,0.8200265964769073,0.5215582426525354,0.8818575458419773,0.3681891350916382,0.8220999160827152,0.5168533101063008,0.8824962236265207,0.36646392191306665,0.8204821214109329,0.5205271356309205,0.8820109021076591,0.3677751481509341,0.8217136239480427,0.5177322162834121,0.8823887990990671,0.36675430154750804,0.8207558933043693,0.5199067315217638,0.8820995536897855,0.3675357564016157,0.8214896942093864,0.5182412266116264,0.8823240885411194,0.3669291815291288,0.8209204837974542,0.5195334922419209,0.8821515764340702,0.36739525007072704,0.821358074366753,0.5185402437308595,0.8822852205867228,0.36703420776747514,0.8210192266711829,0.5193094826836778,0.8821823264665791,0.36731218943552013,0.8212802013741549,0.518717099812408,0.88226193439708,0.3670971249478828,0.8210783423873825,0.5191753389078898,0.8822005707390306,0.3672629056503673,0.8212339726113014,0.5188220689258382,0.8822480088352543,0.36713474872640206,0.821113679564149,0.5190951409517958,0.8822114173422377,0.3672336042897422,0.821206479457159,0.5188844889584431,0.882239691055335,0.36715722086851266,0.8211347811792892,0.5190472464880308,0.8822178732859263,0.3672161636023293,0.8211901121652198,0.5189216464683354,0.8822347265562731,0.36717063322027027,0.8211473738400465,0.5190186633501166,0.882221718430421,0.36720577583097924,0.8211803626926473,0.5189437791092695,0.8822317648456312,0.36717863465054124,0.8211548856602975,0.519001612297986,0.8822240094720922,0.3671995864645975,0.8211745532824953,0.5189569669482723,0.8822299984501675,0.3671834067584301,0.8211593655459917,0.5189914432326876"
linear, 3.5679999999999996, 0.5, 100, "0.8919999999999999,0.34372684800000025,0.8048648086074984,0.5603809761506412,0.8789915633817333,0.3795117289513555,0.8402018330936795,0.4790493591266105,0.8904339000684754,0.3480989670086767,0.8096722397965705,0.549839874712971,0.8831370412185081,0.36823903528209545,0.8300561238941341,0.5033126237253687,0.8919608466378249,0.3438363667001594,0.8049868972562274,0.5601153172472051,0.8791057783199316,0.3792027899569578,0.8399358654754755,0.47969479107275187,0.8905289082138215,0.34783422915837586,0.809385022961134,0.550474278200264,0.8829099749528991,0.3688596654590423,0.8306382947583408,0.5019402387642099,0.891986568169583,0.34376442037669,0.8049067029780534,0.5602898280452613,0.8790308075110853,0.3794055883443406,0.8401105327466536,0.47927097743676167,0.8904668576009076,0.3480071389552924,0.8095726712430729,0.5500598680309202,0.8830586262982093,0.36845340490451084,0.8302575201614192,0.5028381343045287,0.8919712597374125,0.34380724053424144,0.804954436505203,0.5601859606278732,0.8790754557112946,0.37928481839411465,0.8400065507097336,0.47952330625290657,0.8905039554870539,0.3479037655523073,0.8094605121456583,0.5503075949956472,0.8829699125203699,0.3686958764995722,0.8304849224775666,0.5023020267415086,0.8919810920008406,0.3437797382973401,0.8049237800461151,0.5602526704770019,0.8790467888189908,0.37936236176928867,0.8400733269438698,0.4793612720511376,0.8904801850980734,0.3479700029633229,0.8095323878436677,0.5501488527248447,0.8830268102911223,0.36854037055040834,0.8303391292635144,0.5026457809290457,0.8919750234408068,0.34379671300292963,0.8049427022125172,0.5602114957746265,0.879064486370845,0.3793144909351498,0.8400321081934723,0.47946129413828975,0.8904948804515251,0.3479290540812199,0.809487956989487,0.5502469855791934,0.8829916578906489,0.3686364474706621,0.8304292256945989,0.5024333676469044,0.8919788728797212,0.34378594555448583,0.8049306996830998,0.5602376136182858"
linear, 3.6019999999999994, 0.5, 100, "0.9004999999999999,0.3227382995000004,0.787318998908126,0.6031469499048892,0.8621772656245964,0.42801711700941525,0.8818361093320223,0.3753326705678825,0.8445179212140944,0.4729692618682731,0.8978681597841865,0.33030674060266185,0.7967775201698178,0.5832470188857157,0.8755379017156019,0.3925145663189047,0.8588856673300853,0.4365662821817116,0.8860061407243865,0.36379933208168036,0.83368065976709,0.4994432967052329,0.9004988836733525,0.32274152032338715,0.7873231118406142,0.6031384367068177,0.8621835912709727,0.4280006124630477,0.8818275496758818,0.37535621575526007,0.8445390652310407,0.4729167827720538,0.8978579306391912,0.33033605943305694,0.796813358471211,0.5831703924994114,0.8755838342930007,0.39239029387079954,0.8587893844307272,0.4368151797865911,0.8861196579375462,0.36348361833460063,0.833370525688227,0.5001884615536832,0.9004998720650383,0.32273866861814826,0.7873194702690335,0.6031459742595677,0.8621779905945485,0.42801522547028026,0.8818351284337311,0.37533536876777374,0.8445203444504783,0.47296324759952496,0.8978669884987267,0.33031009778556053,0.7967816241854071,0.58323824450023,0.8755431635383767,0.39250033101515613,0.8588746438476725,0.4365947819915486,0.8860191615421412,0.36376312333413274,0.8336451273976578,0.49952870612760997,0.9004991999312731,0.3227406078575851,0.7873219466460802,0.6031408485097762,0.8621817992579974,0.4280052881190352,0.8818299747831588,0.3753495450262464,0.8445330751975599,0.47293165026187484,0.8978608306017213,0.33032774762141615,0.7968031990355467,0.5831921154742407,0.8755708170663599,0.39242551404792086,0.8588166833596694,0.4367446170494457,0.8860875210130588,0.36357300687700317,0.8334584073217988,0.4999773770922464,0.9004999981565107,0.3227383048188389,0.7873190057002469,0.603146935846244,0.8621772760711619,0.4280170897530194,0.8818360951978153,0.375332709447514,0.8445179561320196,0.47296917520522197,0.8978681429083121,0.3303067889730048"
linear, 3.6359999999999992, 0.5, 100, "0.9089999999999998,0.3007662840000005,0.7646723484225113,0.6542929204571443,0.822440273917584,0.5309733328326465,0.9055118130471735,0.31109677622634996,0.7792514199662455,0.6254597912086941,0.8517687811119703,0.4590767227728553,0.9029107376452803,0.3187424407141349,0.7895417550254942,0.6041780201438073,0.8695382742723802,0.41247316255056843,0.8811447957121022,0.38079335213494425,0.8573316222809675,0.4447341102068369,0.8978944976626448,0.33334836630152187,0.8080182191357441,0.5640336880100968,0.8940912612041657,0.3443003950353664,0.820854753638384,0.5346818976179822,0.9046264954946108,0.31370462328667376,0.7828091025890119,0.6181891257878124,0.8582099178634839,0.4424490406500425,0.8969571574152424,0.33605735518288277,0.8112745342889,0.5567012854065385,0.8973101299520833,0.3350379860777998,0.8100554734884928,0.5594553338163292,0.8961469700889482,0.338393713932862,0.8140400725918399,0.5504134360844773,0.8997590531404003,0.32794065513580867,0.8013583355880756,0.5787899463862823,0.8864282368509523,0.366047819790865,0.8437585735850096,0.47933403666360297,0.9074471297003007,0.30537613751031417,0.7712739636159305,0.6414283477106778,0.8362728096784771,0.4978432924043477,0.9089830875544931,0.30081658476721596,0.7647452163617987,0.6541526524236473,0.8225975856537421,0.530604380547649,0.9055944201967473,0.31085315268594127,0.7789165374695891,0.6261394347980461,0.8511470331073837,0.46066578750461074,0.9033744525287083,0.3173829896074914,0.7877431360456394,0.6079533355267446,0.8666263372396916,0.4202675284702678,0.8858849771289529,0.36757336417361774,0.8452361447457974,0.47563244785680964,0.9068410246556675,0.30717066406931204,0.7738020564356706,0.6364179296298498,0.8413345798569373,0.4853722019033771,0.9082219960730622,0.30307805978884567,0.7680022810491934,0.6478434904534321,0.8295254112738648,0.5141776800889373,0.9082691399562072,0.3029381008308471,0.7678017863092981,0.6482340910153602"
linear, 3.669999999999999, 0.5, 100, "0.9174999999999998,0.27779606250000066,0.7362952552853516,0.712583907049744,0.7516456626409194,0.6850952699396261,0.7917648496387352,0.6050849101311004,0.8769727833022503,0.39596188078313155,0.877776175981827,0.3937365403582099,0.8760586431219943,0.39848822174500725,0.8796819670731185,0.38843868623771843,0.8718234489068956,0.410112674833741,0.8878473864022506,0.36543806583966193,0.8510476251613558,0.46522962306766,0.9130630466588974,0.29132063450947127,0.757682225275786,0.6738115257512928,0.806627661403748,0.5724446815517912,0.8982389889815343,0.33545894709372287,0.8181393078041718,0.5460496876456684,0.9097174944025923,0.3014228794442945,0.7727813567939235,0.644416516185395,0.8409580023600457,0.49085384109979463,0.9171929963429556,0.2787365139547589,0.7378258639572041,0.7099206104491446,0.7557753479227765,0.6774048250195862,0.8019960279793557,0.5827901246408204,0.8923450686113835,0.3525598239903264,0.8377193178085276,0.49892058093071967,0.9174957239159153,0.2778091662787678,0.7363166266156677,0.7125468387849172,0.7517034976537158,0.684988431816811,0.7919099579448222,0.6047740755812331,0.8772121826259796,0.3952992572522588,0.8772685588978215,0.3951431544944807,0.8771485039588179,0.39547555187916544,0.8774039278642781,0.39476823010369605,0.8768594277984829,0.3962754860633981,0.8780152965156192,0.39307327865276515,0.8755397018812858,0.3999196515810578,0.880741000567459,0.385483186086887,0.8693712505454649,0.4167831069226592,0.8920850617530545,0.3533083469648796,0.8385273212724533,0.49691525760019645,0.9174650776170792,0.27790307592050933,0.7364697496739541,0.7122811509851344,0.7521177364766852,0.6842224943207126,0.7929478063915558,0.602546408620478,0.8789071390700837,0.390595824459528,0.873572765793716,0.4053272363720465,0.8846060389252572,0.3746269749975602,0.8598134888883768,0.4423607092952842,0.9053072036531,0.31461467934753945,0.7913704781937645,0.6059289070842927"
linear, 3.703999999999999, 0.5, 100, "0.9259999999999997,0.25381289600000084,0.7015076339884425,0.7755978704379829,0.6446656943524205,0.8484820837943784,0.47618711886411014,0.9238996345471973,0.26042490577310756,0.7134043797337541,0.7573145459115127,0.6807552874085516,0.8049811565775471,0.5814779742672306,0.9014104022832784,0.3291733278292284,0.8179107908700212,0.5516468283952648,0.9161199693522938,0.2846308097775354,0.7541940784884149,0.6866674121891201,0.7969351468473896,0.5994165367711275,0.8893909686096751,0.36437979088557104,0.8578729164906254,0.4516175177797972,0.91732943757424,0.28089706453781926,0.7481854192005525,0.697848407466895,0.7810106523830609,0.6335062810678008,0.8599801740788094,0.4460144718967838,0.9152049244460637,0.2874484411310954,0.7586600761821641,0.6781837503208746,0.8084000413543624,0.5737103912806923,0.9058753465166834,0.31582231224521967,0.8003550578505527,0.5918504524841813,0.8947511831777827,0.34881124851855927,0.8413338251199893,0.49445147824645486,0.9258859683091217,0.25417270995837604,0.7021633666158107,0.7746174207274709,0.6466638483509994,0.8463259065337849,0.4817361893809967,0.9247644686530772,0.2577063414131948,0.7085521722639307,0.76489819230856,0.6660864223239779,0.823826272383877,0.5375857638429192,0.920767397559899,0.27022456864608124,0.7304408422452304,0.7293065555065437,0.731238137340787,0.7279431339002608,0.7335473002294236,0.7239677592897477,0.7402015921264944,0.7122910347981791,0.7590700412801548,0.6773975715859102,0.8094354963094424,0.5713407911022922,0.907148460608226,0.31198840531419925,0.7950696755367526,0.603507115887266,0.8863163698624328,0.3732137894418597,0.8664591512327846,0.4285812855295751,0.9071072561954434,0.3121126779539771,0.7952427040100414,0.6031287861796198,0.8866059356199817,0.3723847904127482,0.8656779830765343,0.43069968541516035,0.9082114155398299,0.30877818258587464,0.790560338082083,0.613288651514149,0.8784616840467432,0.39546405573629545"
linear, 3.7379999999999987, 0.5, 100, "0.9344999999999997,0.22880204550000102,0.6595763404976113,0.8393132936265731,0.5041309350158565,0.9344362124350943,0.22900923284103525,0.6599962473803587,0.8388116886808709,0.5054024188742037,0.9343909022472097,0.22915638563966842,0.6602942872621469,0.8384548616190475,0.5063057702443605,0.9343513668839551,0.22928477114161666,0.6605541840622042,0.8381431591776877,0.5070941041831825,0.9343118802376627,0.22941298677838498,0.660813614014961,0.8378315130243571,0.507881569603084,0.9342677986568917,0.22955610868776874,0.6611030599747946,0.8374832156015402,0.5087607860019192,0.9342131033738132,0.22973367044900628,0.6614619433330435,0.8370504927164272,0.5098518565142357,0.9341371931710069,0.22998006687593228,0.6619595631051891,0.8364488954963855,0.5113664020086023,0.9340170687363057,0.23036988996224658,0.6627459188587261,0.8354944569148703,0.5137636885401828,0.9337918765610995,0.23110038406704397,0.6642164211080442,0.8336972307897837,0.5182593392141528,0.9332537378346065,0.23284450056245448,0.66771123643159,0.829361054110607,0.5290066045793897,0.9313549099377164,0.2389813359722705,0.6798272827750718,0.8136211106060669,0.5668370445955275,0.9178016417978709,0.28200140395893114,0.7568575761199711,0.6878824057345722,0.8025493536383261,0.5923380156355099,0.902628656466439,0.328533436740209,0.8245998757023285,0.5406453335542947,0.928324662743652,0.24871898152133637,0.6984746423741924,0.7872520174581231,0.626063708906798,0.8750954845669225,0.4085760249361557,0.9032565130568183,0.32664208232358327,0.8221620070323157,0.5465391148987141,0.9264039061122524,0.25485575168957364,0.709862264130941,0.7698703688907556,0.6622614001724408,0.8360830876966271,0.512286015218158,0.9339357632167609,0.23063367821475925,0.6632773911633331,0.8348467648334408,0.5153866335732019,0.9336150341342273,0.23167377212182497,0.665367870447319,0.8322786612298602,0.5217907516468487,0.9327250598272828,0.2345558464693596"
linear, 3.7719999999999985, 0.5, 100, "0.9429999999999996,0.20274877200000122,0.6097125205108024,0.8975970502444246,0.34670936102250927,0.8543654685670631,0.4693315326002911,0.939452226944935,0.2145579241593939,0.6356680820937467,0.8735732149017882,0.41659119632315844,0.9167580883818148,0.2878514884381611,0.7732336301067869,0.6613952421043338,0.8447453440159866,0.49470024342351593,0.9428940542526273,0.2031027995013343,0.6105059414115995,0.8969379840348404,0.34868457332410574,0.8566349363033925,0.463245061768105,0.937904309072728,0.21968058631236426,0.6466001112406413,0.8619337126533212,0.4488830413968762,0.9331439772808238,0.23532110453385718,0.6787528504160707,0.8224748624617855,0.5507495807387123,0.9332851387668746,0.23485976471166126,0.6778308730410535,0.8237149531985184,0.5477269488734687,0.9344079058608366,0.23118501744017278,0.6704296414309288,0.8334374971775467,0.523626910615372,0.9408943530254842,0.20976910324174414,0.6252694522103414,0.8838081327014976,0.387351648750699,0.8951346362801904,0.35407243166661384,0.8626758061867498,0.44685473123681596,0.9323462892993111,0.23792526007902703,0.6839270853828765,0.8153963604343762,0.5677808123309531,0.9256705323016396,0.2595309433921061,0.7248827149748208,0.7522415277149475,0.7030035265174226,0.7875542513314604,0.6311029481854186,0.8781669280375887,0.40356542955964897,0.907921809309671,0.31533843613048584,0.8143752029599886,0.5702065702133023,0.9244079534457926,0.2635793975039701,0.7321651867545421,0.7396866578954099,0.726299754333575,0.7498299247232617,0.7075706528645659,0.7804812075896931,0.6462578621370114,0.8623117816424541,0.4478502121149422,0.9327416673800056,0.23663509720928685,0.6813700363331598,0.8189197202201568,0.5593506798703165,0.929713117925568,0.2464875120582949,0.7005789104220926,0.7912452758173382,0.6230445860927194,0.8858920325310993,0.38130144357185203,0.8898549819914675,0.36970538685798343,0.8789639396014414,0.40128924612118005,0.9062463376230419"
linear, 3.8059999999999983, 0.5, 100, "0.9514999999999996,0.1756383365000014,0.5510688798232608,0.9415738359687511,0.20937775535812844,0.6300403337589323,0.8871386811338636,0.38107057981516357,0.8976671482131814,0.3496223541169752,0.8654332611326941,0.4432411714900592,0.9392387250797972,0.21720591713738396,0.6471246904921761,0.8691165626534944,0.43294377784355115,0.934386180444819,0.23334070758396355,0.6808660796496881,0.8269960774495726,0.5445379896558491,0.9439502946190428,0.20136836526457333,0.6120776724743486,0.90369129383638,0.33124888930238017,0.8431167764014442,0.5034229607236601,0.9514554063915992,0.17579158904746353,0.5514471772546042,0.9414262333473414,0.20987380323163474,0.6311367625448425,0.8860487870322339,0.384277867321761,0.9005315247599701,0.34092053814516365,0.855184316649603,0.4713506491906239,0.9483760911413539,0.18633750067799784,0.5770498737915992,0.9289049843067465,0.2513501979465731,0.7161874882230406,0.7736188635757029,0.6665551227880284,0.8459192424240842,0.4960735746051653,0.9514413235968527,0.17583998351475708,0.5515665998089642,0.9413794112944446,0.21003112337611632,0.6314841005435717,0.8857016105439672,0.38529762257614386,0.9014258457182774,0.33819084722192577,0.8518505394819822,0.48032175907890196,0.9500261905711598,0.18069528420683867,0.5634573611853775,0.9361738595631445,0.22741749827380586,0.6687095557387355,0.8431701485640807,0.5032835522059326,0.9514589647923706,0.17577936063133573,0.5514169984900673,0.9414380483654323,0.20983410262694108,0.6310490801184222,0.8861362835120387,0.3840207207342728,0.900304758608495,0.34161171749591146,0.8560194563803312,0.4690900582589549,0.9478636543589567,0.18808546787874103,0.5812116896238985,0.9263981415488503,0.25951068230731134,0.7313795640161331,0.7477400709358096,0.7179062067038521,0.7707792646142441,0.6724387129880124,0.8383281723411218,0.5158425859280032,0.9505447414650587,0.17891791318072586,0.5591253531515068,0.9381949570915843,0.2206915934795944"
